Country code,Year,cereal_yield_(kg_per_hectare),"co2_emissions,_total_(ktco2)",co2_emissions_per_capita_(metric_tons),"co2_emissions_per_units_of_gdp_(kg/$1,000_of_2005_ppp_$)",energy_use_per_capita_(kilograms_of_oil_equivalent),"energy_use_per_units_of_gdp_(kg_oil_eq./$1,000_of_2005_ppp_$)","foreign_direct_investment,_net_inflows_(%_of_gdp)",gdp_($),gni_per_capita_(atlas_$),nationally_terrestrial_protected_areas_(%_of_total_land_area),population,population_growth_(annual_%),population_in_urban_agglomerations_>1million_(%),ratio_of_girls_to_boys_in_primary_&_secondary_school_(%),"under-five_mortality_rate_(per_1,000)",urban_population,urban_population_growth_(annual_%)
LIC,2003,1730.33434028298,184387.761,0.267982655818443,314.433392555806,329.965040157066,338.380917276382,2.32862315492613,192047334230.675,274.681065845356,10.5162632603313,688058562.733708,2.21470086579316,10.0198598601266,87.661,127.2011373838,175416263.310923,3.65094232417735
LIC,2004,1760.27124620518,196848.227,0.279984912424936,313.898903542284,332.902495301522,325.64827532055,2.2184109722483,215504106025.568,308.800073100106,10.5166934502093,703067266.3577,2.18131194594268,10.2056926084523,86.482,124.2941913211,181723196.836169,3.59540980192143
LIC,2005,1840.60595108061,205263.992,0.28581952210679,306.16217446898196,341.204335272009,317.149285517667,2.08747576997225,238035761504.588,339.334626622254,10.5179876385567,718159454.214286,2.14662075433725,10.3687584128834,88.591,121.5937995901,188154674.182071,3.53916145977833
LIC,2006,1930.10547404113,218076.49,0.297389915123965,304.62021007826,344.267731954471,308.84648773051,2.18744029173118,260313951197.357,361.137676311841,10.5348111319238,733301564.409459,2.10846074730568,10.5341216880975,89.309,118.542676411,195181108.382922,3.73439258492793
LIC,2007,1966.94183374257,209811.072,0.280293507476383,274.55032294074397,356.008211420937,315.397586112084,3.54119944103939,305657367649.827,395.526950888749,10.585734412423,748540606.198945,2.07814118080579,10.7373348734253,89.854,115.5525104564,202357665.96407,3.67687100488678
LIC,2008,1969.96128171511,219121.585,0.286804777781425,270.21471775552703,363.51980999279,308.075951270788,3.16663145959474,363879925992.954,441.691207888355,10.5857344099323,764009535.318807,2.06654508676721,10.806391074988,90.474,112.5399566166,209721993.135241,3.63926275591567
LMC,1991,1934.43435979833,2133997.3540996,1.19312592482963,660.652840531493,615.667428067918,341.707329361565,0.800132498687516,842407065317.943,496.256278980763,7.28862306462595,1788576804.58525,2.07589150715368,11.9891438157223,81.0950842115597,110.7671906161,571721662.689067,3.24363931331007
LMC,1999,2262.41097084696,2559061.72023685,1.23453057564463,600.239651976773,596.191605325948,289.743503190276,1.19422774822429,1180124362473.76,567.636991632031,9.18789466115695,2072902664.96688,1.75306452296616,12.7482808801045,83.711,92.1611955298,724918734.161447,2.91407004922914
LMC,2000,2272.64070248183,2685574.87877607,1.273541385708,605.086343757841,594.680568826815,282.307998364599,0.944043787157919,1258729037432.26,575.297624061115,9.31883309707231,2108745666.93651,1.72912132225949,12.8856103923055,84.12,89.8504886919,745760529.101834,2.87505260358543
LMC,2001,2410.06029647135,2758254.13489036,1.2862673530779,596.543778689251,595.964190120202,275.983010608261,1.08462111936335,1267314858431.16,596.758153952184,9.35541383521352,2144386334.83945,1.69013591642467,12.9980238124456,84.863,87.6017996811,766763229.579949,2.8162794434039
LMC,2002,2345.4223428944,2832890.25317423,1.2996494530432,591.478793392032,605.987806066068,275.266686060592,1.48089598029761,1359158737444.35,607.114841788313,9.41674926247149,2179734117.18126,1.64838684930584,13.1327576847258,85.816,85.4013910539,788029233.663053,2.77347729556017
LMC,2003,2404.71181297257,2989881.85806412,1.34987530722844,590.642282029123,613.432987902269,267.847943683217,1.37754843651464,1560739493526.68,680.357877119627,9.46231875414185,2214931884.4886,1.61477342717626,13.2697095673489,90.137,83.2042685361,809620216.599411,2.73987080859861
LMC,2004,2508.31028891967,3131920.65780197,1.39199666937374,574.546910394247,631.20704262408,259.840655392637,1.42062796357528,1815188216738.28,795.099043502292,9.51776588597075,2249948384.72639,1.5809289885174,13.3879906343168,90.182,81.0544866924,831494361.379065,2.70177847973343
LMC,2005,2452.1800551214,3222338.68826833,1.41037477941333,551.829868605482,638.746608115129,249.217628134143,2.36875872751035,2103820248332.88,913.628266511124,9.52358504166993,2284739301.42789,1.54629843678511,13.5219825175558,90.392,78.9111691008,853634517.752224,2.66269470985223
LMC,2006,2534.84843033259,3304999.46921683,1.4244887807908,525.548411195163,648.912379870755,238.724052846811,2.95435911748039,2514315550326.64,1038.46403464228,9.52458979686937,2320130220.59891,1.54901345413458,13.6077842864167,90.812,76.8617746233,877133441.31616,2.75280850003728
LMC,2007,2571.40968082132,3528645.41497103,1.49801583152623,519.2072941445371,660.710471478196,228.296019777678,3.19538886506717,3108759090603.4,1211.22103555351,9.52575759481023,2355546143.57841,1.52646272459501,13.7071105721995,92.083,74.8562919222,901001365.622221,2.72112807262783
LMC,2008,2749.79027445593,3743902.66448845,1.56550021275414,523.8613855791921,670.115264831286,223.485381343711,3.66209839486196,3498553541378.37,1396.5614555846,9.52576026645334,2391505688.71652,1.526590563133,13.8288265939326,92.349,73.1227676041,925397049.582697,2.70761897720648
LMY,1991,2447.16507276467,9929307.62144372,2.271417268881,812.719410626241,955.873507129594,330.081737947774,1.03687190438809,3741934815324.36,846.428628551075,9.05258350384298,4371415044.46487,1.8154576107362,13.5073941473288,84.264825654576,96.7623028308,1605890513.97188,3.06143758632984
LMY,1999,2637.82297805464,10643991.0248059,2.14674596787506,678.27213293615,893.955633341098,273.664029570183,3.05617032261995,5381619603849.91,1096.75785305405,10.5488632266132,4958197748.63337,1.47885808324071,15.0492270439295,90.254,83.4140168367,2001788469.67623,2.67131020975013
LMY,2000,2580.44392930926,10946584.6146319,2.17617022067798,660.2122424873061,894.774320666532,262.73507661032,2.55520995871254,5872118387398.09,1131.86158060285,10.8969781808273,5030206052.18169,1.45230801994872,15.3211426540606,90.711,81.4953438393,2054596345.08774,2.63803474799975
LMY,2001,2686.20176969294,11171872.2387502,2.19040289843917,649.436641712853,892.126004540272,255.886081897263,2.69822275693065,5925201666212.22,1136.69755156567,11.1200211287562,5100373199.24612,1.39491596043058,15.5560925626532,91.279,79.5380384153,2107564312.28278,2.5780230419314
LMY,2002,2673.9512756027,11482963.9505591,2.22150280670241,639.3687492756161,913.403135203877,254.297186973879,2.57708831577622,6044521106045.86,1148.77955149741,11.5355649021911,5169007176.54477,1.34566578988363,15.7956415815702,91.755,77.6368423946,2160481903.61553,2.51084111760409
LMY,2003,2677.80001928457,12681177.0113313,2.42146168369599,666.3781853432171,956.479327473255,254.586716173141,2.23098757368083,6904325231118.77,1258.88244063572,11.6277405434624,5236992638.25454,1.31525183440004,16.0340619475625,93.736,75.7644176003,2213817796.72664,2.46870353423742
LMY,2004,2808.20344094678,13760280.0243234,2.59411826539478,671.493221755784,1016.05496623817,254.489888868929,2.55590727481026,8217792384906.66,1473.15965440032,11.8323320891778,5304415071.54238,1.28742654315263,16.2469342296507,93.709,73.8749903999,2267569433.57637,2.42800635757851
LMY,2005,2798.87558046468,14498599.9361763,2.69912843093819,659.122874158667,1050.15780420747,247.986340518557,3.25539826660649,9761879070051.5,1728.83579334493,12.0427679891385,5371585794.13603,1.26631724116034,16.4542430797145,94.258,72.0041521206,2321886582.59486,2.39539077455359
LMY,2006,2887.95337950901,15399030.5013459,2.83122715240336,646.5397556035671,1092.62340607289,241.252443189378,3.37470073611911,11602170756313.8,1999.17638645849,12.1604535038914,5438995062.00837,1.25492304238959,16.6403255174124,94.694,70.1006399257,2377697339.16248,2.40368142811052
LMY,2007,2925.04109356686,16174349.4955203,2.93748495376028,623.769835339257,1123.240542468,230.664208035293,3.77698640861316,14351004126640.7,2363.9485008774,12.1767198239936,5506189733.77736,1.23542439371471,16.8142911529718,95.407,68.2269190463,2434139505.44509,2.37381626975674
LMY,2008,3086.35985285814,16822433.2185276,3.01789944764108,612.459326066648,1165.14079931745,228.363835522046,3.68357517820829,17177332076748.2,2781.04962062163,12.1767499638504,5574219257.59544,1.23550998253394,16.9742858216581,95.651,66.5060729575,2491564066.31687,2.35913187158428
MAR,1990,1120.0,23542.14,0.95000364188764,350.457131110316,280.09921268644,103.328831781424,0.639497820160133,25820725667.7109,990.0,1.15613829606,24781105.0,1.91696154104034,18.3282303190273,68.838,85.9,11994054.82,3.4157406375895
MAR,1991,1575.8,24975.937,0.989618253874889,347.809121806057,289.795237339196,101.850816320195,1.14045033759641,27836559831.3913,1060.0,1.25020436464,25237951.0,1.82673860920531,18.4738887875644,69.634,82.1,12381738.7606,3.18116111998101
MAR,1992,587.5,26039.367,1.01400186029472,377.849057685526,302.956697251793,112.891215547512,1.48492467783856,28450632466.6198,1060.0,1.25019017074,25679802.0,1.73559147995884,18.6389715933168,70.066,78.6,12767997.5544,3.07191426117558
